title,info,location,totalprice,unitprice
观澜大四房，江景房，此房满五年唯一，带装修,"金隅观澜时代 , | 4室2厅 | 174平米 | 南 | 简装 | 有电梯","高楼层(共38层)2013年建板楼  -  ,沿江南","400,万",单价22989元/平米
业主诚心出售 二期开发商精装 品质楼盘 看房随时欢迎,"万科魅力之城 , | 2室1厅 | 87.14平米 | 南 北 | 精装 | 有电梯","低楼层(共9层)2009年建板楼  -  ,九堡","280,万",单价32133元/平米
精装大三房，三房朝南双阳台，看房有钥匙。,"枫华府第 , | 3室2厅 | 138.98平米 | 南 | 精装 | 有电梯","高楼层(共25层)2008年建板楼  -  ,翠苑","780,万",单价56124元/平米
江南铭庭 刚需两居室 中间楼层采光良好 精装修拎包住,"江南铭庭 , | 2室1厅 | 87平米 | 南 | 精装 | 有电梯","中楼层(共27层)2012年建板楼  -  ,白马湖","330,万",单价37932元/平米
新金都城市花园2房楼层好采光佳不沿街,"新金都城市花园 , | 2室2厅 | 89.68平米 | 南 | 精装 | 无电梯","中楼层(共6层)1998年建板楼  -  ,文一西路","490,万",单价54639元/平米
嘉绿北苑 正气两房 南北通透 不沿街,"嘉绿北苑 , | 2室2厅 | 71.42平米 | 南 | 简装 | 无电梯","中楼层(共7层)1998年建板楼  -  ,嘉绿","355,万",单价49706元/平米
西荡苑好房出售即买即住省心省事,"西荡苑桃苑 , | 2室1厅 | 59.16平米 | 南 | 精装 | 无电梯","高楼层(共6层)2003年建板楼  -  ,文三西路","265,万",单价44794元/平米
万家星城三期小三房，楼层好，景观美，诚心出售。,"万家星城 , | 3室1厅 | 87.99平米 | 南 北 | 简装 | 有电梯","低楼层(共19层)2011年建板塔结合  -  ,三塘","395,万",单价44892元/平米
汇宇花园 精装修，五个房间，满足大家庭的需求,"汇宇花园 , | 5室2厅 | 187.74平米 | 南 | 精装 | 无电梯","低楼层(共6层)2008年建板楼  -  ,南部卧城","430,万",单价22905元/平米
保利玫瑰湾，精装三房，满两年，拎包入住,"保利玫瑰湾 , | 3室2厅 | 89.58平米 | 南 | 精装 | 有电梯","低楼层(共34层)2013年建板楼  -  ,沿江南","248,万",单价27685元/平米
西溪公寓精三房 交通便利 可拎包入住,"西溪公寓 , | 3室1厅 | 93.45平米 | 南 | 简装 | 无电梯","高楼层(共7层)1998年建板楼  -  ,文教","538,万",单价57571元/平米
泰和苑全明户型，近两年精装修，拎包入住。,"泰和苑 , | 3室2厅 | 129.07平米 | 西南 北 | 精装 | 有电梯","低楼层(共22层)1998年建板楼  -  ,潮鸣","543,万",单价42071元/平米
文二路68号  文一街十三中  楼层好  采光好 学籍不占,"文二路68号 , | 2室1厅 | 48.71平米 | 南 | 精装 | 无电梯","中楼层(共6层)1986年建板楼  -  ,文教","300,万",单价61589元/平米
大三房 精装修 送超大露台 采光好 近地铁 没有税,"华鸿汇盛德堡 , | 3室2厅 | 112.44平米 | 南 | 精装 | 有电梯","低楼层(共16层)2009年建板楼  -  ,九堡","350,万",单价31128元/平米
文二路68号   文一街十三中  满五唯一  学籍不占,"文二路68号 , | 2室1厅 | 48.71平米 | 南 | 简装 | 无电梯","高楼层(共6层)1986年建板楼  -  ,文教","290,万",单价59537元/平米
此房满五年唯一，无增无个，自住中装，家具家电看价,"盛世嘉园 , | 3室2厅 | 128.28平米 | 南 | 简装 | 无电梯","中楼层(共6层)2006年建板楼  -  ,闲林","310,万",单价24166元/平米
岸上蓝山3室2厅2卫精装带车库多层中楼层，房东诚心卖,"岸上蓝山 , | 3室2厅 | 126平米 | 南 北 | 精装 | 无电梯","中楼层(共5层)2012年建板楼  -  ,闲林","320,万",单价25397元/平米
精装修 纯西边套 户型方正 拎包入住,"冠宇隽园 , | 3室2厅 | 129.08平米 | 南 北 | 精装 | 有电梯","低楼层(共16层)2010年建板楼  -  ,丁桥","400,万",单价30989元/平米
上城区西湖边  吴山脚下 南宋御街河坊街 西湖银泰旁,"定安苑 , | 2室1厅 | 68.64平米 | 南 | 精装 | 有电梯","低楼层(共9层)2000年建板楼  -  ,清波","378,万",单价55070元/平米
凤栖花园 电梯房 三房朝南  户型正气,"中大凤栖花园 , | 3室2厅 | 146.23平米 | 南 | 简装 | 有电梯","中楼层(共18层)2003年建板楼  -  ,潮鸣","708,万",单价48417元/平米
全明户型 三开间朝南 免双税 急售,"宋都阳光国际 , | 2室2厅 | 84.61平米 | 南 | 简装 | 有电梯","低楼层(共24层)2013年建板塔结合  -  ,九堡","280,万",单价33094元/平米
华翠园小两房 朝南户型 采光好 诚心卖,"阳光华城华翠园 , | 2室1厅 | 57.19平米 | 南 | 简装 | 有电梯","中楼层(共9层)2006年建板楼  -  ,高教园区东","190,万",单价33223元/平米
朗诗国际自住精装两房 满五年 自带地暖 三恒系统,"朗诗国际街区 , | 2室2厅 | 87.85平米 | 南 北 | 精装 | 有电梯","中楼层(共18层)2009年建塔楼  -  ,沿江北","270,万",单价30735元/平米
盛泰名都精装修自住诚心出售全明户型,"盛泰名都公寓 , | 2室2厅 | 87.32平米 | 南 | 精装 | 有电梯","低楼层(共30层)2010年建塔楼  -  ,高教园区西","260,万",单价29776元/平米
闲林山水，精装大两房，楼层好，户型佳，看房方便。,"闲林山水紫薇苑 , | 2室2厅 | 89.98平米 | 南 北 | 精装 | 有电梯","中楼层(共18层)2010年建板楼  -  ,闲林","240,万",单价26673元/平米
裕达大厦 电梯房 单价低 大落地窗,"裕达大厦 , | 3室2厅 | 114.61平米 | 西 北 | 简装 | 有电梯","高楼层(共27层)2000年建板楼  -  ,建国北路","410,万",单价35774元/平米
朝晖九区婚房个性装修 带大露台,"朝晖九区 , | 2室1厅 | 55.69平米 | 东 南 北 | 精装 | 无电梯","低楼层(共7层)1995年建板楼  -  ,朝晖","275,万",单价49381元/平米
自住精装修，满五年唯一，有车位，随时看房！,"大华海派风景 , | 3室2厅 | 86.14平米 | 南 北 | 精装 | 有电梯","低楼层(共18层)2012年建板楼  -  ,万达广场","305,万",单价35408元/平米
整个万家星城就三套本户型房源 懂的来,"万家星城 , | 3室2厅 | 139平米 | 东 南 北 | 精装 | 有电梯","高楼层(共21层)2009年建塔楼  -  ,三塘","625,万",单价44965元/平米
胜利天地  南北通透 双阳台 东边套,"华龙家园 , | 3室1厅 | 104.41平米 | 南 | 简装 | 无电梯","低楼层(共8层)1998年建板楼  -  ,近江","520,万",单价49804元/平米
求是村 06年建成电梯房  两室两厅   精装修  随时看房,"求是村 , | 2室2厅 | 94.39平米 | 南 北 | 简装 | 有电梯","低楼层(共16层)1988年建塔楼  -  ,黄龙","690,万",单价73101元/平米
新华书店旁边，5号线地跌口，大三房，满五年 看房随时,"永康苑 , | 3室1厅 | 84.63平米 | 南 | 精装 | 无电梯","高楼层(共7层)1998年建板楼  -  ,建国北路","328,万",单价38757元/平米
精装西边套卖鱼桥教育房，户型好，满五唯一,"锦绣文澜阁 , | 3室2厅 | 132平米 | 南 | 精装 | 有电梯","中楼层(共24层)2008年建板楼  -  ,桥西","500,万",单价37879元/平米
滨江家园 南北通透 户型好 精装修,"滨江家园 , | 2室1厅 | 66.11平米 | 南 北 | 精装 | 无电梯","中楼层(共7层)1997年建板楼  -  ,近江","375,万",单价56724元/平米
彩虹城 2室2厅 450万,"彩虹城 , | 2室2厅 | 101.14平米 | 南 北 | 简装 | 无电梯","低楼层(共6层)2007年建板楼  -  ,彩虹城","450,万",单价44493元/平米
绿城春江花月 免双税104方两房 南北通透江景房,"春江花月 , | 2室2厅 | 104.56平米 | 南 | 简装 | 有电梯","中楼层(共11层)2004年建板楼  -  ,南星","660,万",单价63122元/平米
新上三房 户型方正交通繁华 纯毛坯享受更多装修空间,"古荡新村东区 , | 3室1厅 | 70.41平米 | 南 | 简装 | 无电梯","低楼层(共6层)1990年建板楼  -  ,古荡","310,万",单价44028元/平米
林之语 98方 280万 精装修 大两房 看房方便,"林之语 , | 2室2厅 | 98.46平米 | 南 | 精装 | 有电梯","中楼层(共18层)2012年建板楼  -  ,钱江世纪城","280,万",单价28438元/平米
满两年，业主诚心出售，地理位置好,"广厦天都城爱尚公寓 , | 3室2厅 | 116.44平米 | 南 | 毛坯 | 有电梯","高楼层(共18层)2013年建板楼  -  ,星桥","258,万",单价22158元/平米
小区中间位置 飞机全明户型 中间楼层,"秋水苑 , | 3室2厅 | 119.19平米 | 南 | 精装 | 无电梯","中楼层(共6层)2003年建板楼  -  ,文三西路","545,万",单价45726元/平米
3阳台2居室，满五年，南北通透,"风景蝶院留园 , | 2室2厅 | 88.86平米 | 南 北 | 精装 | 有电梯","高楼层(共20层)2011年建板楼  -  ,白马湖","330,万",单价37138元/平米
东方福邸三叠双墅，经典户型出售,"东方福邸 , | 3室2厅 | 175.07平米 | 南 | 毛坯 | 有电梯","低楼层(共17层)2013年建板楼  -  ,申花","830,万",单价47410元/平米
瑷骊山低总价 边套刚需两房，随时看房，楼层高视野好,"融创瑷骊山 , | 2室2厅 | 75.7平米 | 西 | 简装 | 有电梯","高楼层(共12层)2014年建板楼  -  ,转塘","245,万",单价32365元/平米
坤和西溪里带入户花园，房东诚心出售,"坤和西溪里 , | 3室1厅 | 89平米 | 南 北 | 简装 | 有电梯","中楼层(共14层)2011年建板楼  -  ,西溪","435,万",单价48877元/平米
玖珑山168方大四房 双卧室客厅朝南 户型方正 未满2,"佳兆业玖珑山 , | 4室2厅 | 168.68平米 | 南 | 毛坯 | 有电梯","中楼层(共11层)2014年建板楼  -  ,转塘","520,万",单价30828元/平米
中间楼层 采光好 不沿主干道 随时可以看房,"钱塘梧桐蓝山 , | 3室1厅 | 89.22平米 | 南 | 毛坯 | 有电梯","中楼层(共25层)2011年建板楼  -  ,临平","256,万",单价28694元/平米
宋都晨光纯毛坯跃层   满两年 楼板已浇筑 楼层佳,"宋都晨光国际 , | 3室2厅 | 88.7平米 | 南 | 简装 | 有电梯","高楼层(共42层)2013年建板塔结合  -  ,沿江南","308,万",单价34724元/平米
此房小三房，精装修，房东诚心出售，欢迎预约看房,"闲林山水紫薇苑 , | 3室2厅 | 86平米 | 南 | 精装 | 有电梯","中楼层(共18层)2009年建板楼  -  ,闲林","235,万",单价27326元/平米
永康苑 两房朝南 低总价低单价 好房推荐,"永康苑 , | 2室1厅 | 55.38平米 | 南 北 | 简装 | 无电梯","高楼层(共7层)1998年建板楼  -  ,建国北路","233,万",单价42073元/平米
倾城之恋 3室2厅 600万,"倾城之恋 , | 3室2厅 | 122.93平米 | 东 南 西 | 其他 | 有电梯","中楼层(共14层)2005年建板塔结合  -  ,滨江区政府","600,万",单价48809元/平米
德信早城东边套视野开阔采光充足交通便利诚心出售,"德信早城 , | 3室2厅 | 86.77平米 | 南 | 简装 | 有电梯","中楼层(共18层)2012年建板塔结合  -  ,金沙湖","365,万",单价42066元/平米
世茂地铁口大两房 户型方正采光好,"世茂江滨花园峻景湾 , | 2室2厅 | 86.66平米 | 南 北 | 其他 | 有电梯","低楼层(共33层)2011年建塔楼  -  ,沿江南","240,万",单价27695元/平米
金都夏宫，满两年，，小区环境优雅，出行方便,"金都夏宫 , | 3室1厅 | 134平米 | 南 | 其他 | 有电梯","高楼层(共32层)2016年建板楼  -  ,临平","280,万",单价20896元/平米
钱塘梧桐蓝山 3室1厅 275万,"钱塘梧桐蓝山 , | 3室1厅 | 87.48平米 | 南 | 简装 | 有电梯","高楼层(共30层)2011年建板楼  -  ,临平","275,万",单价31436元/平米
中间楼层，房间无遮挡，房东诚心出售，看房方便,"美都新村 , | 2室1厅 | 67.66平米 | 南 | 其他 | 无电梯","中楼层(共7层)1998年建板楼  -  ,文三西路","279,万",单价41236元/平米
半岛刚需3房 中高楼 纯毛坯 满二年 诚心卖 有钥匙,"半岛国际 , | 3室2厅 | 86.54平米 | 南 | 毛坯 | 有电梯","中楼层(共28层)2014年建板楼  -  ,长河","460,万",单价53155元/平米
朝晖四区 业主诚心出售  看房方便 带有庭院 利用率高,"朝晖四区 , | 2室1厅 | 60.01平米 | 南 西 北 | 简装","低楼层(共6层)1989年建板楼  -  ,朝晖","245,万",单价40827元/平米
一线江景房 在家便可观潮起潮落 带江景大阳台 满两年,"同人春江时代花园 , | 4室2厅 | 171平米 | 南 北 | 简装 | 有电梯","低楼层(共33层)2008年建板楼  -  ,长河","728,万",单价42574元/平米
水印城 3室2厅 小区中间位置 二线江景 纯毛坯 阳光好,"水印城 , | 3室2厅 | 123.56平米 | 南 北 | 毛坯 | 有电梯","高楼层(共32层)2008年建板楼  -  ,长河","542,万",单价43866元/平米
小户型，两居室，简单装修 方便出租 无增值税,"久睦苑 , | 2室2厅 | 61.07平米 | 南 | 毛坯","低楼层(共16层)2013年建暂无数据  -  ,丁桥","185,万",单价30294元/平米
丁桥带装修两居室，假边套，楼层好，业主诚心出售。,"久睦苑 , | 2室1厅 | 62.5平米 | 南 | 简装","高楼层(共16层)2013年建暂无数据  -  ,丁桥","165,万",单价26400元/平米
府苑新村三期红房子 标准三室两厅 西边套 可做四房,"府苑新村 , | 3室2厅 | 103.12平米 | 南 北 | 简装 | 无电梯","低楼层(共5层)2001年建板楼  -  ,文三西路","445,万",单价43154元/平米
白荡海人家 文一街十三中 学籍不占 房东诚心卖,"白荡海人家 , | 3室2厅 | 82.89平米 | 南 北 | 简装 | 无电梯","中楼层(共7层)1999年建板楼  -  ,文教","498,万",单价60080元/平米
夕照新村，四季青边上，生活设施配套齐全，出行便利。,"夕照新村 , | 2室1厅 | 50.4平米 | 南 北 | 简装 | 无电梯","低楼层(共6层)1997年建板楼  -  ,四季青","260,万",单价51588元/平米
小河佳苑 2室1厅 250万,"小河佳苑 , | 2室1厅 | 66.3平米 | 南 | 简装 | 有电梯","低楼层(共20层)2008年建板楼  -  ,和睦","250,万",单价37708元/平米
白荡海人家 新上两房 文一街学籍不占用 精装修,"白荡海人家 , | 2室2厅 | 79.39平米 | 南 北 | 精装 | 无电梯","高楼层(共7层)2000年建板楼  -  ,文教","498,万",单价62729元/平米
精装修，西边套，户型方正，中间楼层,"小河佳苑 , | 3室1厅 | 93.36平米 | 南 北 | 精装 | 有电梯","中楼层(共18层)2005年建板楼  -  ,和睦","330,万",单价35348元/平米
朝晖四区  精装两房   低楼层  96年房龄,"朝晖四区 , | 2室1厅 | 47.73平米 | 南 | 精装 | 无电梯","低楼层(共7层)1989年建板楼  -  ,朝晖","205,万",单价42950元/平米
耀江文鼎苑一期精装两房，得房率高。,"耀江文鼎苑 , | 2室1厅 | 89.81平米 | 南 | 精装 | 有电梯","低楼层(共18层)2007年建板塔结合  -  ,申花","605,万",单价67365元/平米
贾家弄 新上好房 业主置换诚心卖,"贾家弄 , | 2室1厅 | 60.44平米 | 南 | 简装 | 无电梯","低楼层(共6层)1993年建板楼  -  ,信义坊","240,万",单价39709元/平米
新上红苹果高层精装房子 南北通风 精装全送 诚心出售,"红苹果家园 , | 2室2厅 | 95.75平米 | 南 北 | 精装 | 有电梯","高楼层(共18层)2009年建板楼  -  ,九堡","300,万",单价31332元/平米
和睦房东诚心出售两房，价格还有余地，急售能谈,"和睦新村 , | 2室1厅 | 52.28平米 | 南 | 简装 | 无电梯","高楼层(共7层)1989年建板楼  -  ,和睦","200,万",单价38256元/平米
自带20方花园，随意种植。自住装修，地下做了通风口,"爵士风情花园 , | 3室2厅 | 110.2平米 | 南 北 | 精装 | 无电梯","低楼层(共5层)2008年建板楼  -  ,闲林","242,万",单价21961元/平米
丽江公寓 2室1厅 340万,"丽江公寓 , | 2室1厅 | 89.88平米 | 南 | 精装 | 有电梯","低楼层(共18层)2009年建塔楼  -  ,九堡","340,万",单价37829元/平米
精装修 南北通透 楼层好 视野开阔 交通便利 配套齐全,"保利东湾 , | 2室2厅 | 89.59平米 | 南 | 精装 | 有电梯","中楼层(共32层)2010年建板楼  -  ,沿江南","255,万",单价28463元/平米
领骏世界，拎包入住，上塘河畔和下城体育馆边。,"领骏世界 , | 1室1厅 | 46.5平米 | 东 | 精装 | 有电梯","高楼层(共20层)2012年建塔楼  -  ,朝晖","150,万",单价32259元/平米
钱江湾花园大两房，诚心出售，看房方便。简单装修,"钱江湾花园 , | 2室2厅 | 122.55平米 | 南 | 简装 | 有电梯","中楼层(共7层)2003年建板塔结合  -  ,浦沿","463,万",单价37781元/平米
江南摩卡三房 满五唯一 诚心出售置换 刚需小三房,"江南摩卡 , | 3室2厅 | 106.63平米 | 南 | 其他 | 有电梯","低楼层(共14层)2009年建板楼  -  ,闻堰","305,万",单价28604元/平米
金海公寓 不沿街 简装 清爽 交通便利  中间套精装,"金海公寓 , | 2室2厅 | 69.8平米 | 南 | 精装 | 无电梯","高楼层(共7层)1996年建板楼  -  ,文三西路","275,万",单价39399元/平米
铭和苑桂雨坊中间套毛坯房采光充足视野开阔送大阳台,"铭和苑桂雨坊 , | 2室2厅 | 90.23平米 | 南 | 简装 | 有电梯","中楼层(共14层)2008年建板塔结合  -  ,金沙湖","230,万",单价25491元/平米
全明户型+采光好+边套+小三房+视野开阔,"采荷小区青莼邨 , | 3室1厅 | 67.92平米 | 南 北 | 简装 | 无电梯","高楼层(共6层)1990年建板楼  -  ,采荷","373,万",单价54918元/平米
绿城风华苑 2室2厅 230万,"绿城风华苑 , | 2室2厅 | 84.33平米 | 南 | 精装","中楼层(共16层)2008年建暂无数据  -  ,临平","230,万",单价27274元/平米
稻香园南区 2室2厅 355.8万,"稻香园南区 , | 2室2厅 | 76.55平米 | 南 | 精装 | 无电梯","高楼层(共7层)1995年建板楼  -  ,湖墅","355.8,万",单价46480元/平米
万象城悦府 2室2厅 690万,"万象城悦府 , | 2室2厅 | 89.55平米 | 南 | 精装 | 有电梯","中楼层(共44层)2008年建塔楼  -  ,钱江新城","690,万",单价77052元/平米
复兴南苑 1室1厅 150万,"复兴南苑 , | 1室1厅 | 34.22平米 | 南 | 简装 | 无电梯","低楼层(共6层)1998年建板楼  -  ,复兴","150,万",单价43835元/平米
清水公寓新上大两房 精装修 西边套 户型通透 诚心出售,"清水公寓 , | 2室1厅 | 82.54平米 | 南 西 北 | 精装 | 有电梯","中楼层(共18层)2002年建塔楼  -  ,德胜","330,万",单价39981元/平米
孩儿巷 长寿桥小两房 满五唯一,"孩儿巷 , | 2室1厅 | 44.84平米 | 东 西 | 简装 | 无电梯","低楼层(共7层)2000年建板楼  -  ,众安桥","246,万",单价54862元/平米
翠苑精装两房南，  可谈有余地。,"翠苑一区 , | 2室1厅 | 49.16平米 | 南 | 精装","高楼层(共7层)1988年建板楼  -  ,翠苑","253,万",单价51465元/平米
清怡花苑 东边套跃层 客厅挑空格局好,"清怡花苑 , | 6室2厅 | 184.43平米 | 南 | 简装 | 无电梯","高楼层(共7层)2003年建板楼  -  ,复兴","660,万",单价35786元/平米
东边套，满2年，南北通透，楼层采光好,"铭雅苑东区 , | 3室2厅 | 118.34平米 | 南 | 简装 | 无电梯","高楼层(共6层)2004年建板楼  -  ,三墩","330,万",单价27886元/平米
绿城房子现房全新，满两年，正对小区泳池位置,"绿城西溪融庄 , | 3室2厅 | 147.04平米 | 南 北 | 毛坯 | 无电梯","中楼层(共7层)2015年建板楼  -  ,西溪","545,万",单价37065元/平米
地铁口，大三房，中间楼层，采光无遮挡,"野风海天城 , | 3室2厅 | 138.95平米 | 南 | 简装 | 有电梯","高楼层(共28层)2007年建板楼  -  ,沿江北","330,万",单价23750元/平米
江景房，楼层好视野开阔，看房方便,"世茂江滨花园峻景湾 , | 4室2厅 | 161.59平米 | 南 | 毛坯 | 有电梯","高楼层(共33层)2011年建塔楼  -  ,沿江南","380,万",单价23517元/平米
仓基新村   新上好房  诚心出售 看房方便,"仓基新村 , | 2室1厅 | 57.85平米 | 南 | 简装 | 无电梯","高楼层(共6层)1990年建板楼  -  ,信义坊","238,万",单价41141元/平米
金都夏宫，满两年，，小区环境优雅，出行方便,"金都夏宫 , | 3室1厅 | 134平米 | 南 | 其他 | 有电梯","高楼层(共32层)2016年建板楼  -  ,临平","280,万",单价20896元/平米
满二年地铁口，多层中间楼层，客厅带阳台，南北通透,"亲亲家园四期 , | 2室2厅 | 80.06平米 | 南 | 精装 | 有电梯","中楼层(共8层)2009年建板塔结合  -  ,三墩","305,万",单价38097元/平米
3阳台2居室，满五年，南北通透,"风景蝶院留园 , | 2室2厅 | 88.86平米 | 南 北 | 精装 | 有电梯","高楼层(共20层)2011年建板楼  -  ,白马湖","330,万",单价37138元/平米
东方福邸三叠双墅，经典户型出售,"东方福邸 , | 3室2厅 | 175.07平米 | 南 | 毛坯 | 有电梯","低楼层(共17层)2013年建板楼  -  ,申花","830,万",单价47410元/平米
此房满五唯一，15年新装修，好楼层，全明户型,"金田花园 , | 2室1厅 | 80.27平米 | 南 | 简装 | 无电梯","中楼层(共7层)1996年建板楼  -  ,文三西路","310,万",单价38620元/平米
横燕子弄 户型方正 楼层好 采光充足 房东诚心出售,"横燕子弄 , | 1室1厅 | 42.62平米 | 南 | 精装 | 无电梯","低楼层(共7层)1994年建板楼  -  ,长庆","215,万",单价50446元/平米
翠苑三区满五唯一，置换诚心出售，采光超级赞！！！,"翠苑三区 , | 2室1厅 | 50.38平米 | 南 | 简装 | 无电梯","高楼层(共6层)1989年建板楼  -  ,翠苑","225,万",单价44661元/平米
新上精装小三房，房东13年婚房装修,"建国南苑 , | 3室1厅 | 74.19平米 | 东 西 | 精装 | 无电梯","高楼层(共7层)1999年建板楼  -  ,鼓楼","310,万",单价41785元/平米
戒坛寺巷 长寿桥、安吉路 1居室 落户,"戒坛寺巷 , | 1室1厅 | 42.86平米 | 西 | 简装 | 无电梯","低楼层(共7层)1990年建板楼  -  ,武林","248,万",单价57863元/平米
中山北路601 地铁边的优质房源 两室一厅,"中山北路601号 , | 2室1厅 | 70.9平米 | 南 | 简装 | 无电梯","高楼层(共7层)1995年建板塔结合  -  ,朝晖","310,万",单价43724元/平米
两房朝南精装修 视野开阔，采光日照佳。房东诚售！,"骆驼桥东河下 , | 2室2厅 | 66.96平米 | 南 | 精装 | 无电梯","高楼层(共7层)1990年建板楼  -  ,建国北路","305,万",单价45550元/平米
视野开阔 采光充足 户型方正 宜居,"翠苑四区 , | 3室1厅 | 72平米 | 南 | 简装 | 无电梯","高楼层(共6层)1993年建板楼  -  ,翠苑","298,万",单价41389元/平米
卖小新上好房，楼层户型好，得房率高，房东诚心卖。,"墅林苑 , | 3室2厅 | 114.12平米 | 南 | 简装","中楼层(共8层)1996年建板楼  -  ,信义坊","500,万",单价43814元/平米
三里亭，两房朝南，婚房精装修，带小院，满五唯一。,"三里亭一区 , | 2室1厅 | 59.52平米 | 南 | 精装 | 无电梯","低楼层(共6层)2000年建板塔结合  -  ,三里亭","240,万",单价40323元/平米
青年路小区 西湖边 南北通透 小区环境优美,"青年路小区 , | 2室2厅 | 70.22平米 | 南 北 | 简装 | 无电梯","中楼层(共5层)1993年建板楼  -  ,湖滨","315,万",单价44860元/平米
绿洲吉家，70年住宅产权，闹市中给您一个温暖的家。,"绿洲吉家 , | 1室1厅 | 60.9平米 | 西 | 精装 | 有电梯","高楼层(共24层)2006年建塔楼  -  ,流水苑","215,万",单价35304元/平米
