title,info,price,dprice
奥迪 A1两厢三门版 2012款 1.4T 自动 TFSI Urban,"2012年,｜,2.6万公里","
                10.48
                                                万
                ","
                                            首付3.35万
                                                    月供2503元
                                             
                                    "
福特 福克斯三厢 2011款 1.8 自动 时尚型,"2011年,｜,10.9万公里","
                5.80
                                                万
                ","
                                            首付1.85万
                                                    月供1385元
                                             
                                    "
本田 CR-V 2013款 2.4 自动 VTi豪华型四驱,"2013年,｜,9.9万公里","
                18.80
                                                万
                ","
                                            首付6.01万
                                                    月供4490元
                                             
                                    "
宝马 X1 2010款 3.0 自动 25i四驱,"2011年,｜,7.4万公里","
                14.30
                                                万
                ","
                                            首付4.57万
                                                    月供3415元
                                             
                                    "
奥迪 S7掀背 2013款 4.0T 自动 TFSI,"2013年,｜,7.2万公里","
                61.80
                                                万
                ","
                                            首付19.74万
                                                    月供14759元
                                             
                                    "
大众 CC 2016款 1.8T 自动 豪华型,"2016年,｜,5.9万公里","
                20.97
                                                万
                ","
                                            首付6.70万
                                                    月供5008元
                                             
                                    "
本田 雅阁 2011款 2.4 自动 LX,"2012年,｜,7.2万公里","
                12.88
                                                万
                ","
                                            首付4.11万
                                                    月供3076元
                                             
                                    "
路虎 神行者 2014款 2.0T 自动 Si4 SE,"2014年,｜,11.3万公里","
                27.90
                                                万
                ","
                                            首付8.91万
                                                    月供6663元
                                             
                                    "
斯巴鲁 傲虎 2015款 2.5 自动 豪华导航版,"2017年,｜,2.6万公里","
                26.97
                                                万
                ","
                                            首付8.61万
                                                    月供6441元
                                             
                                    "
雷克萨斯 RX 2009款 3.5 自动 350豪华版,"2012年,｜,9.0万公里","
                29.80
                                                万
                ","
                                            首付9.52万
                                                    月供7117元
                                             
                                    "
丰田 RAV4 2018款 2.0 自动 风尚X版,"2018年,｜,0.1万公里","
                19.80
                                                万
                ","
                                            首付6.32万
                                                    月供4729元
                                             
                                    "
本田 CR-V 2013款 2.4 自动 VTi豪华型前驱,"2014年,｜,3.5万公里","
                17.30
                                                万
                ","
                                            首付5.53万
                                                    月供4131元
                                             
                                    "
江淮 瑞风A60 2017款 1.5T 自动 豪华型,"2017年,｜,1.7万公里","
                10.30
                                                万
                ","
                                            首付3.29万
                                                    月供2460元
                                             
                                    "
雪佛兰 迈锐宝 2013款 1.6T 自动 舒适版,"2013年,｜,7.7万公里","
                8.68
                                                万
                ","
                                            首付2.77万
                                                    月供2073元
                                             
                                    "
大众 途锐 2011款 3.0T 自动 舒适型,"2014年,｜,7.8万公里","
                39.86
                                                万
                ","
                                            首付12.73万
                                                    月供9519元
                                             
                                    "
雷克萨斯 NX 2016款 2.0 自动 200锋尚版四驱,"2015年,｜,5.9万公里","
                32.80
                                                万
                ","
                                            首付10.48万
                                                    月供7833元
                                             
                                    "
本田 雅阁 2014款 2.4 自动 豪华导航版EXN,"2015年,｜,5.3万公里","
                17.39
                                                万
                ","
                                            首付5.55万
                                                    月供4153元
                                             
                                    "
奥迪 A4L 2015款 2.0T 自动 45TFSI个性运动型四驱,"2015年,｜,1.7万公里","
                25.20
                                                万
                ","
                                            首付8.05万
                                                    月供6018元
                                             
                                    "
福特 福克斯两厢 2012款 1.6 手动 舒适型,"2015年,｜,3.1万公里","
                6.43
                                                万
                ","
                                            首付2.05万
                                                    月供1536元
                                             
                                    "
雪佛兰 科鲁兹两厢 2013款 1.6 手动 豪华型,"2015年,｜,7.1万公里","
                6.30
                                                万
                ","
                                            首付2.01万
                                                    月供1504元
                                             
                                    "
本田 凌派 2013款 1.8 自动 旗舰版,"2013年,｜,6.6万公里","
                10.60
                                                万
                ","
                                            首付3.39万
                                                    月供2531元
                                             
                                    "
福特 福克斯两厢 2012款 1.8 自动 经典时尚型,"2012年,｜,7.3万公里","
                6.60
                                                万
                ","
                                            首付2.11万
                                                    月供1576元
                                             
                                    "
玛莎拉蒂 Ghibli 2017款 3.0T 自动 标准版,"2017年,｜,1.0万公里","
                78.97
                                                万
                ","
                                            首付25.22万
                                                    月供18859元
                                             
                                    "
福特 福克斯三厢 2012款 1.8 手动 经典时尚型,"2012年,｜,11.1万公里","
                4.38
                                                万
                ","
                                            首付1.40万
                                                    月供1046元
                                             
                                    "
宝骏 730 2017款 1.8 自动 智能尊享型,"2017年,｜,3.0万公里","
                8.90
                                                万
                ","
                                            首付2.84万
                                                    月供2125元
                                             
                                    "
广汽传祺 传祺GS4 2016款 1.5T 自动 235T豪华版,"2016年,｜,2.7万公里","
                12.97
                                                万
                ","
                                            首付4.14万
                                                    月供3097元
                                             
                                    "
本田 飞度两厢 2016款 1.5 自动 LXS舒适天窗版,"2016年,｜,5.7万公里","
                8.20
                                                万
                ","
                                            首付2.62万
                                                    月供1958元
                                             
                                    "
雪佛兰 迈锐宝 2013款 2.4 自动 豪华版,"2014年,｜,6.6万公里","
                11.80
                                                万
                ","
                                            首付3.77万
                                                    月供2818元
                                             
                                    "
大众 途观 2015款 2.0T 自动 旗舰版四驱,"2015年,｜,1.8万公里","
                20.50
                                                万
                ","
                                            首付6.55万
                                                    月供4896元
                                             
                                    "
别克 英朗两厢 2014款 1.6 自动 XT时尚型,"2014年,｜,3.1万公里","
                9.97
                                                万
                ","
                                            首付3.18万
                                                    月供2381元
                                             
                                    "
广汽传祺 传祺GS8 2017款 2.0T 自动 豪华智联版前驱,"2016年,｜,1.6万公里","
                17.58
                                                万
                ","
                                            首付5.62万
                                                    月供4198元
                                             
                                    "
起亚 起亚KX5 2016款 1.6T 自动 Premium前驱,"2017年,｜,1.2万公里","
                15.50
                                                万
                ","
                                            首付4.95万
                                                    月供3702元
                                             
                                    "
本田 奥德赛 2015款 2.4 自动 智享版 改款,"2015年,｜,6.4万公里","
                24.20
                                                万
                ","
                                            首付7.73万
                                                    月供5779元
                                             
                                    "
东风风行 菱智 2012款 1.6 手动 乘用舒适型7座,"2012年,｜,3.5万公里","
                3.30
                                                万
                ","
                                            首付1.05万
                                                    月供788元
                                             
                                    "
大众 尚酷两厢 2011款 1.4T 自动 单增压风尚版,"2014年,｜,5.1万公里","
                14.39
                                                万
                ","
                                            首付4.60万
                                                    月供3437元
                                             
                                    "
大众 CC 2013款 2.0T 自动 至尊型,"2014年,｜,6.6万公里","
                18.68
                                                万
                ","
                                            首付5.97万
                                                    月供4461元
                                             
                                    "
福特 翼虎 2013款 1.6T 自动 GTDi风尚型前驱,"2013年,｜,7.2万公里","
                13.80
                                                万
                ","
                                            首付4.41万
                                                    月供3296元
                                             
                                    "
丰田 卡罗拉 2014款 1.8 自动 GLX-i,"2015年,｜,3.3万公里","
                11.80
                                                万
                ","
                                            首付3.77万
                                                    月供2818元
                                             
                                    "
保时捷 Macan 2014款 2.0T 自动,"2015年,｜,5.2万公里","
                52.80
                                                万
                ","
                                            首付16.86万
                                                    月供12609元
                                             
                                    "
大众 途安 2015款 1.4T 手动 舒适版5座,"2015年,｜,3.3万公里","
                8.76
                                                万
                ","
                                            首付2.80万
                                                    月供2092元
                                             
                                    "
宝马 3系 2014款 2.0T 自动 320Li时尚型,"2015年,｜,7.0万公里","
                24.98
                                                万
                ","
                                            首付7.98万
                                                    月供5966元
                                             
                                    "
宝马 X1 2013款 2.0 自动 18i时尚型后驱,"2013年,｜,4.3万公里","
                14.86
                                                万
                ","
                                            首付4.75万
                                                    月供3549元
                                             
                                    "
英菲尼迪 Q50L 2015款 2.0T 自动 悦享版,"2016年,｜,4.3万公里","
                23.50
                                                万
                ","
                                            首付7.51万
                                                    月供5612元
                                             
                                    "
江淮 瑞风M5 2014款 2.0T 自动 公务版,"2015年,｜,3.6万公里","
                9.98
                                                万
                ","
                                            首付3.19万
                                                    月供2383元
                                             
                                    "
凯迪拉克 XT5 2016款 2.0T 自动 28T豪华型四驱,"2017年,｜,3.3万公里","
                33.95
                                                万
                ","
                                            首付10.84万
                                                    月供8108元
                                             
                                    "
丰田 雷凌 2017款 1.2T 自动 185T精英版 改款,"2017年,｜,0.8万公里","
                11.68
                                                万
                ","
                                            首付3.73万
                                                    月供2789元
                                             
                                    "
丰田 凯美瑞 2015款 2.0 自动 E精英版,"2015年,｜,6.9万公里","
                15.60
                                                万
                ","
                                            首付4.98万
                                                    月供3725元
                                             
                                    "
丰田 雷凌 2014款 1.6 自动 G精英版,"2015年,｜,4.9万公里","
                10.38
                                                万
                ","
                                            首付3.32万
                                                    月供2479元
                                             
                                    "
英菲尼迪 Q70L 2013款 2.5 自动 舒适版,"2015年,｜,6.2万公里","
                27.97
                                                万
                ","
                                            首付8.93万
                                                    月供6680元
                                             
                                    "
大众 途观 2013款 1.8T 自动 舒适版前驱,"2014年,｜,1.7万公里","
                16.80
                                                万
                ","
                                            首付5.37万
                                                    月供4012元
                                             
                                    "
别克 昂科威 2014款 2.0T 自动 28T全能旗舰型,"2015年,｜,4.7万公里","
                29.50
                                                万
                ","
                                            首付9.42万
                                                    月供7045元
                                             
                                    "
奥迪 A6L 2012款 2.8 自动 35FSI舒适型,"2014年,｜,7.8万公里","
                30.88
                                                万
                ","
                                            首付9.86万
                                                    月供7375元
                                             
                                    "
丰田 汉兰达 2012款 2.7 自动 豪华版7座前驱,"2014年,｜,2.3万公里","
                24.80
                                                万
                ","
                                            首付7.92万
                                                    月供5923元
                                             
                                    "
宝马 5系 2014款 2.0T 自动 520Li典雅型,"2015年,｜,4.3万公里","
                32.80
                                                万
                ","
                                            首付10.48万
                                                    月供7833元
                                             
                                    "
路虎 揽胜运动版 2014款 3.0T 自动 SC HSE Dynamic ,"2015年,｜,4.6万公里","
                77.80
                                                万
                ","
                                            首付24.85万
                                                    月供18580元
                                             
                                    "
宝马 7系 2013款 3.0T 自动 740Li领先型,"2013年,｜,14.1万公里","
                47.80
                                                万
                ","
                                            首付15.27万
                                                    月供11415元
                                             
                                    "
奥迪 Q5 2015款 2.0T 自动 40TFSI技术型,"2015年,｜,4.3万公里","
                31.80
                                                万
                ","
                                            首付10.16万
                                                    月供7594元
                                             
                                    "
别克 GL8 2014款 3.0 自动 XT豪华商务旗舰版,"2015年,｜,4.3万公里","
                24.74
                                                万
                ","
                                            首付7.90万
                                                    月供5908元
                                             
                                    "
大众 途观 2015款 1.8T 自动 豪华版前驱,"2015年,｜,4.7万公里","
                18.79
                                                万
                ","
                                            首付6.00万
                                                    月供4487元
                                             
                                    "
奔驰 C级 2013款 1.8T 自动 C260优雅型Grand Edition,"2014年,｜,9.5万公里","
                21.80
                                                万
                ","
                                            首付6.96万
                                                    月供5206元
                                             
                                    "
奥迪 A4L 2012款 2.0T 自动 TFSI舒适型,"2011年,｜,7.2万公里","
                14.88
                                                万
                ","
                                            首付4.75万
                                                    月供3554元
                                             
                                    "
本田 奥德赛 2011款 2.4 自动 劲秀舒适版,"2012年,｜,8.3万公里","
                13.50
                                                万
                ","
                                            首付4.31万
                                                    月供3224元
                                             
                                    "
力帆汽车 720 2013款 1.8 手动 舒雅豪华型,"2013年,｜,14.2万公里","
                3.20
                                                万
                ","
                                            首付1.02万
                                                    月供764元
                                             
                                    "
宝马 3系 2014款 2.0T 自动 320Li时尚型,"2014年,｜,8.1万公里","
                22.50
                                                万
                ","
                                            首付7.19万
                                                    月供5373元
                                             
                                    "
本田 杰德 2014款 1.8 自动 舒适精英版5座,"2014年,｜,2.7万公里","
                11.80
                                                万
                ","
                                            首付3.77万
                                                    月供2818元
                                             
                                    "
宝马 5系 2014款 2.0T 自动 525Li豪华设计套装,"2015年,｜,7.6万公里","
                36.50
                                                万
                ","
                                            首付11.66万
                                                    月供8717元
                                             
                                    "
别克 君越 2014款 2.0T 自动 智享旗舰型,"2015年,｜,7.2万公里","
                16.30
                                                万
                ","
                                            首付5.21万
                                                    月供3893元
                                             
                                    "
马自达 马自达6 2012款 2.0 自动 时尚型,"2013年,｜,7.8万公里","
                8.90
                                                万
                ","
                                            首付2.84万
                                                    月供2125元
                                             
                                    "
本田 凌派 2015款 1.8 自动 舒适版,"2016年,｜,3.7万公里","
                11.29
                                                万
                ","
                                            首付3.61万
                                                    月供2696元
                                             
                                    "
本田 雅阁 2011款 2.4 自动 EX,"2011年,｜,8.6万公里","
                11.97
                                                万
                ","
                                            首付3.82万
                                                    月供2859元
                                             
                                    "
日产 轩逸 2012款 1.6 手动 XE舒适版经典款,"2015年,｜,6.3万公里","
                6.80
                                                万
                ","
                                            首付2.17万
                                                    月供1624元
                                             
                                    "
日产 天籁 2011款 2.5 自动 XL领先版,"2011年,｜,16.3万公里","
                9.80
                                                万
                ","
                                            首付3.13万
                                                    月供2340元
                                             
                                    "
丰田 皇冠 2015款 2.0T 自动 时尚版,"2016年,｜,1.9万公里","
                31.60
                                                万
                ","
                                            首付10.09万
                                                    月供7546元
                                             
                                    "
宝马 5系 2014款 2.0T 自动 528Li领先型,"2015年,｜,4.3万公里","
                39.80
                                                万
                ","
                                            首付12.71万
                                                    月供9505元
                                             
                                    "
雪佛兰 科鲁兹三厢 2012款 1.8 自动 SE,"2012年,｜,8.1万公里","
                6.68
                                                万
                ","
                                            首付2.13万
                                                    月供1595元
                                             
                                    "
日产 天籁 2013款 2.5 自动 XL领先版,"2013年,｜,8.2万公里","
                14.80
                                                万
                ","
                                            首付4.73万
                                                    月供3534元
                                             
                                    "
日产 天籁 2016款 2.0 自动 XL舒适版 改款 ,"2017年,｜,1.6万公里","
                16.58
                                                万
                ","
                                            首付5.30万
                                                    月供3960元
                                             
                                    "
日产 逍客 2012款 2.0 自动 XL火前驱,"2013年,｜,6.4万公里","
                10.97
                                                万
                ","
                                            首付3.50万
                                                    月供2620元
                                             
                                    "
奥迪 A4L 2013款 2.0T 自动 35TFSI舒适型,"2013年,｜,5.8万公里","
                19.30
                                                万
                ","
                                            首付6.16万
                                                    月供4609元
                                             
                                    "
东风风行 风行S500 2016款 1.6 自动 尊贵型7座,"2016年,｜,1.7万公里","
                7.30
                                                万
                ","
                                            首付2.33万
                                                    月供1743元
                                             
                                    "
丰田 凯美瑞 2013款 2.0 自动 G舒适版,"2013年,｜,14.5万公里","
                14.97
                                                万
                ","
                                            首付4.78万
                                                    月供3575元
                                             
                                    "
比亚迪 G6 2012款 2.0 手动 尊贵型,"2013年,｜,8.1万公里","
                3.98
                                                万
                ","
                                            首付1.27万
                                                    月供950元
                                             
                                    "
吉利汽车 帝豪三厢 2014款 1.5 手动 精英型,"2015年,｜,2.1万公里","
                5.30
                                                万
                ","
                                            首付1.69万
                                                    月供1266元
                                             
                                    "
丰田 花冠 2013款 1.6 自动 卓越型,"2013年,｜,8.5万公里","
                6.90
                                                万
                ","
                                            首付2.20万
                                                    月供1648元
                                             
                                    "
丰田 RAV4 2013款 2.5 自动 精英型四驱,"2014年,｜,12.2万公里","
                17.79
                                                万
                ","
                                            首付5.68万
                                                    月供4248元
                                             
                                    "
大众 高尔夫 2016款 1.4T 自动 豪华型,"2016年,｜,4.5万公里","
                13.80
                                                万
                ","
                                            首付4.41万
                                                    月供3296元
                                             
                                    "
东风风行 菱智 2013款 1.5 手动 V3标准型7座,"2014年,｜,6.6万公里","
                4.18
                                                万
                ","
                                            首付1.34万
                                                    月供998元
                                             
                                    "
雷克萨斯 NX 2015款 2.0 自动 200锋行版前驱,"2017年,｜,3.6万公里","
                30.80
                                                万
                ","
                                            首付9.84万
                                                    月供7355元
                                             
                                    "
宝马 X5 2011款 3.0T 自动 35i领先型,"2012年,｜,9.6万公里","
                35.97
                                                万
                ","
                                            首付11.49万
                                                    月供8590元
                                             
                                    "
别克 昂科拉 2013款 1.4T 自动 精英型前驱,"2013年,｜,7.6万公里","
                8.80
                                                万
                ","
                                            首付2.81万
                                                    月供2102元
                                             
                                    "
丰田 凯美瑞 2015款 2.0 自动 G领先版,"2015年,｜,6.2万公里","
                16.38
                                                万
                ","
                                            首付5.23万
                                                    月供3912元
                                             
                                    "
本田 雅阁 2014款 2.4 自动 豪华版EX,"2015年,｜,6.2万公里","
                16.80
                                                万
                ","
                                            首付5.37万
                                                    月供4012元
                                             
                                    "
